"row","column","cor","p","cor_class"
"annual_precipitation","PET",-0.86222331398291,0,"high"
"precipitation_coldest_quarter","PET",-0.789044347878597,0,"high"
"annual_precipitation","MrVBF",-0.708316102464299,0,"high"
"precipitation_warmest_quarter","MrVBF",-0.700336137728976,0,"high"
"precipitation_coldest_quarter","MrVBF",-0.701361236223918,0,"high"
"ExoticAnnualHerb_cover","herb_total",0.806920865301582,0,"high"
"ExoticPerennialHerb_cover","herb_total",0.714794289812662,0,"high"
"herb_total","exotic_total",0.71485354584411,0,"high"
"ExoticAnnualGrass_cover","exotic_grass",0.870926025051843,0,"high"
"grass_total","exotic_grass",0.70169753960625,0,"high"
"exotic_total","exotic_grass",0.780245787127511,0,"high"
"euc_sdlg_small","euc_sdlg_all",0.871304924707431,0,"high"
"ExoticAnnualHerb_cover","Litter_cover",-0.36499584906452,1.80633286106513e-12,"low"
"NativePerennialGrass_cover","Litter_cover",-0.311348303287746,2.63990784787893e-09,"low"
"ExoticAnnualHerb_cover","annual_precipitation",0.340181127602613,7.09703407153484e-11,"low"
"ExoticPerennialHerb_cover","annual_precipitation",0.329004336426391,3.1457680904623e-10,"low"
"NativePerennialHerb_cover","annual_precipitation",0.306119727020782,5.52265344566649e-09,"low"
"Litter_cover","annual_precipitation",-0.446295794703124,0,"low"
"ExoticAnnualHerb_cover","precipitation_warmest_quarter",0.33589798346192,1.26463728378212e-10,"low"
"ExoticPerennialHerb_cover","precipitation_warmest_quarter",0.323969507650839,6.03366689944096e-10,"low"
"Litter_cover","precipitation_warmest_quarter",-0.457553961525179,0,"low"
"ExoticAnnualHerb_cover","precipitation_coldest_quarter",0.332514331352699,1.98359106917678e-10,"low"
"ExoticPerennialHerb_cover","precipitation_coldest_quarter",0.318829775693895,1.15878662221292e-09,"low"
"NativePerennialHerb_cover","precipitation_coldest_quarter",0.316872228419644,1.48097134555769e-09,"low"
"Litter_cover","precipitation_coldest_quarter",-0.426035274699308,0,"low"
"ExoticAnnualHerb_cover","PET",-0.382263773948214,1.49213974509621e-13,"low"
"ExoticPerennialHerb_cover","PET",-0.330965280406742,2.43305819935813e-10,"low"
"Litter_cover","PET",0.465826230923152,0,"low"
"ExoticAnnualHerb_cover","MrVBF",-0.346689344441038,2.90019119830731e-11,"low"
"Litter_cover","MrVBF",0.44900219277299,0,"low"
"Rock_cover","MrVBF",-0.306954389235555,4.99569274836631e-09,"low"
"ExoticAnnualHerb_cover","K_perc",0.426033264902173,0,"low"
"MrVBF","K_perc",-0.314085164207006,1.98500904602383e-09,"low"
"precipitation_coldest_quarter","Th_ppm",0.364137142163911,2.20712337295481e-12,"low"
"annual_precipitation","U_ppm",0.347102469333468,2.56430432443722e-11,"low"
"precipitation_warmest_quarter","U_ppm",0.369470143528504,9.9342756243459e-13,"low"
"precipitation_coldest_quarter","U_ppm",0.326941341651842,3.88245435800627e-10,"low"
"PET","U_ppm",-0.457150826515673,0,"low"
"ExoticAnnualHerb_cover","aridity",0.354654541850081,9.42756983590698e-12,"low"
"ExoticPerennialHerb_cover","aridity",0.340211340931177,7.06794622828966e-11,"low"
"Litter_cover","aridity",-0.457012644941057,0,"low"
"U_ppm","aridity",0.382857021018169,1.25233157177718e-13,"low"
"ExoticPerennialGrass_cover","grass_total",0.340434092558323,6.04565286721481e-11,"low"
"BareGround_cover","grass_total",-0.381412101509764,1.45439216225896e-13,"low"
"Litter_cover","grass_total",-0.478002160262274,0,"low"
"Litter_cover","herb_total",-0.43045472961822,0,"low"
"annual_precipitation","herb_total",0.46024903784754,0,"low"
"precipitation_warmest_quarter","herb_total",0.451201526781779,0,"low"
"precipitation_coldest_quarter","herb_total",0.450608644587239,0,"low"
"PET","herb_total",-0.482230177874211,0,"low"
"MrVBF","herb_total",-0.398034982657292,1.15463194561016e-14,"low"
"K_perc","herb_total",0.348711182867989,2.1870061317486e-11,"low"
"U_ppm","herb_total",0.323876251522197,6.10620443097787e-10,"low"
"aridity","herb_total",0.475311933742809,0,"low"
"ExoticPerennialHerb_cover","exotic_total",0.490238197086542,0,"low"
"ExoticPerennialGrass_cover","exotic_total",0.45395591055621,0,"low"
"BareGround_cover","exotic_total",-0.333705493328774,1.50118362185481e-10,"low"
"annual_precipitation","exotic_total",0.436925530911105,0,"low"
"precipitation_warmest_quarter","exotic_total",0.459014797604836,0,"low"
"precipitation_coldest_quarter","exotic_total",0.399771999932593,8.88178419700125e-15,"low"
"MrVBF","exotic_total",-0.368431170172581,1.2516654379624e-12,"low"
"K_perc","exotic_total",0.30227824683128,8.72640537608049e-09,"low"
